team,player,issue,status,source_url
Algeria,Rayan Ait-Nouri,Manchester City injury setbacks noted ahead of the tournament,doubt,https://www.thenationalnews.com/sport/2026/06/06/amouras-ascent-petkovics-calming-influence-algeria-world-cup-talking-points/
Argentina,Lionel Messi,muscle fatigue / left hamstring strain (sustained 25 May with Inter Miami),doubt,https://www.nbcdfw.com/news/local/lionel-messi-is-in-argentinas-world-cup-squad-as-coach-calms-injury-fears/4030661/
Argentina,Emiliano Martinez,fractured ring finger from the Europa League final,doubt,https://www.nbcdfw.com/news/local/lionel-messi-is-in-argentinas-world-cup-squad-as-coach-calms-injury-fears/4030661/
Argentina,Cristian Romero,sprained collateral ligament in right knee,doubt,https://www.nbcdfw.com/news/local/lionel-messi-is-in-argentinas-world-cup-squad-as-coach-calms-injury-fears/4030661/
Argentina,Nahuel Molina,muscle injury,doubt,https://www.nbcdfw.com/news/local/lionel-messi-is-in-argentinas-world-cup-squad-as-coach-calms-injury-fears/4030661/
Argentina,Gonzalo Montiel,muscle injury,doubt,https://www.nbcdfw.com/news/local/lionel-messi-is-in-argentinas-world-cup-squad-as-coach-calms-injury-fears/4030661/
Argentina,Juan Foyth,injury ruling him out of the squad,out,https://worldsoccertalk.com/world-cup/lionel-scaloni-confirms-doubts-for-argentinas-2026-world-cup-roster-explains-criteria-for-selection/
Australia,Riley McGree,hamstring injury suffered in Middlesbrough's Championship play-off final defeat to Hull City,out,https://sports.yahoo.com/articles/inside-australias-world-cup-roster-011010681.html
Australia,Hayden Matthews,withdrew pre-tournament,out,https://sports.yahoo.com/articles/inside-australias-world-cup-roster-011010681.html
Australia,Nick D'Agostino,withdrew pre-tournament,out,https://sports.yahoo.com/articles/inside-australias-world-cup-roster-011010681.html
Austria,David Alaba,history of knee injury (missed Euro 2024); back in squad but injury-prone,returned,https://www.sofascore.com/news/the-2026-world-cup-warm-up-austria
Belgium,Romelu Lukaku,Limited playing time due to injury during the club season,returned,https://onefootball.com/en/news/rudi-garcia-names-belgium-squad-for-world-cup-42870752
Belgium,Malick Fofana,Top scorer in qualifying but omitted from the final 26-man squad,out,https://www.beinsports.com/en-us/soccer/fifa-world-cup-2026/articles/rudi-garcia-s-official-belgium-squad-for-the-2026-fifa-world-cup-2026-05-15
Bosnia and Herzegovina,Haris Tabakovic,"injury, sat out the June 6 friendly vs Panama",doubt,https://www.el-balad.com/17017716
Bosnia and Herzegovina,Osman Hadzikic,withdrew injured from the squad,out,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads
Brazil,Neymar,Grade-two calf injury suffered playing for Santos vs Coritiba on 17 May 2026; missed warm-ups vs Panama and Egypt,doubt,https://www.espn.com/soccer/story/_/id/48965996/neymar-miss-brazil-final-pre-world-cup-friendly-vs-egypt
Brazil,Estevao,Right thigh muscle injury suffered playing for Chelsea on 18 April 2026; left off the squad,out,https://www.espn.com/soccer/story/_/id/48745620/chelsea-estevao-miss-world-cup-neymar-makes-brazil-preliminary-cut
Brazil,Rodrygo,"Serious injury; ruled out, described as a big blow",out,https://www.aljazeera.com/sports/2026/5/28/brazils-world-cup-2026-team-preview-players-to-watch-group-matches-squad
Brazil,Eder Militao,Serious injury; would have been a certain selection but misses the World Cup,out,https://www.espn.com/soccer/story/_/id/48745620/chelsea-estevao-miss-world-cup-neymar-makes-brazil-preliminary-cut
Canada,Alphonso Davies,hamstring injury,doubt,https://rg.org/en-ca/sportsbooks/world-cup-2026/canada
Canada,Marcelo Flores,torn ACL (right knee) suffered in Concacaf Champions Cup tie,out,https://www.foxsports.com/stories/soccer/canadas-marcelo-flores-ruled-out-world-cup-acl-injury
Canada,Moise Bombito,"leg injury, recovered",returned,https://www.foxsports.com/stories/soccer/winners-and-losers-from-canadas-world-cup-squad-promise-davids-recovery-alphonso-davies-progress-and-ralph-prisos-heartbreak
Canada,Promise David,"hip surgery earlier in 2026, recovered",returned,https://www.foxsports.com/stories/soccer/winners-and-losers-from-canadas-world-cup-squad-promise-davids-recovery-alphonso-davies-progress-and-ralph-prisos-heartbreak
Cape Verde,Logan Costa,Ruptured ACL in pre-season (July 2025); returned only for a 13-minute LaLiga cameo before being named in the squad,doubt,https://www.flashscore.com/news/soccer-world-cup-cape-verde-announce-world-cup-squad-take-gamble-on-star-defender-logan-costa/WhzAMbFi/
