team,key_player_note
Algeria,"Riyad Mahrez (Al-Ahli, Saudi Arabia) — captain and leader, 130+ caps"
Algeria,"Mohamed Amoura (VfL Wolfsburg) — top scorer in qualifying with 10 goals, blistering pace"
Algeria,"Luca Zidane (Granada) — goalkeeper, Man of the Match vs Netherlands; switched to Algeria in Sept 2025"
Algeria,Aissa Mandi (Lille) — most-capped player and defensive anchor
Algeria,Ramy Bensebaini (Borussia Dortmund) — experienced left-sided defender
Argentina,"Lionel Messi (Inter Miami) — captain and talisman, returning from late-May muscle injury"
Argentina,"Lautaro Martinez (Inter Milan) — main striker, scored from the spot vs Honduras warm-up"
Argentina,"Julian Alvarez (Atletico Madrid) — versatile forward, strong club season"
Argentina,Emiliano Martinez (Aston Villa) — first-choice goalkeeper recovering from a finger fracture
Argentina,Cristian Romero (Tottenham) — defensive leader managing a knee ligament issue
Australia,"Mathew Ryan (GK) — captain, 104 caps, experienced leader anchoring the defense"
Australia,"Jackson Irvine (33, 81 caps) — midfield leader and energy"
Australia,Harry Souttar — returning centre-back providing aerial presence
Australia,Nestory Irankunda (Watford) — rising 20-year-old winger with pace and shooting power
Australia,"Mohamed Toure (Norwich) — young striker, nine Championship goals"
Austria,"David Alaba (Real Madrid) — captain, returned from the knee injury that cost him Euro 2024"
Austria,Marcel Sabitzer (Borussia Dortmund) — central midfield engine nearing 100 caps
Austria,Konrad Laimer (Bayern Munich) — high-energy box-to-box/defensive midfielder
Austria,Christoph Baumgartner (RB Leipzig) — attacking midfielder
Austria,Marko Arnautovic (Red Star Belgrade) — veteran all-time top scorer leading the line
Belgium,Kevin De Bruyne (Napoli) — playmaker at a fourth successive World Cup after his move to Napoli
Belgium,Thibaut Courtois (Real Madrid) — first-choice goalkeeper and defensive anchor
Belgium,"Romelu Lukaku (n/a) — veteran striker, selected despite an injury-affected season for his World Cup scoring record"
Belgium,Jeremy Doku (Manchester City) — explosive winger and primary attacking threat
Belgium,Leandro Trossard (Arsenal) — versatile forward providing depth and goals
Bosnia and Herzegovina,"Edin Dzeko (Schalke 04) — captain, age 40, all-time top scorer (72 goals); 6 goals in qualifying including a late playoff equalizer vs Wales"
Bosnia and Herzegovina,Ermedin Demirovic (VfB Stuttgart) — forward
Bosnia and Herzegovina,"Haris Tabakovic (Borussia Monchengladbach) — striker, 12 Bundesliga goals in 2025-26"
Bosnia and Herzegovina,Sead Kolasinac — experienced defender
Bosnia and Herzegovina,Amar Dedic — defender
Brazil,Vinicius Jr (Real Madrid) — scored 16 La Liga goals; Ancelotti has experimented with him centrally
Brazil,Raphinha (Barcelona) — arrives high on confidence after a standout season for the La Liga champions
Brazil,Bruno Guimaraes (Newcastle) — established as one of the Premier League's most accomplished midfielders; scored in the Egypt warm-up
Brazil,"Marquinhos (PSG) — captain, marshals the defence"
Brazil,Alisson (Liverpool) — still regarded as world-class in goal
Canada,"Alphonso Davies (Bayern Munich) — captain and talisman, returning from hamstring trouble"
Canada,"Jonathan David (Juventus) — lead striker, moved to Juventus and key goal threat"
Canada,Tajon Buchanan (Villarreal) — wide attacker
Canada,Stephen Eustaquio (FC Porto) — midfield anchor
Canada,Cyle Larin — experienced forward option
Cape Verde,"Logan Costa (Villarreal) — centre-back, regarded as the country's best player; only player from a top-five European league but a major fitness gamble after an ACL injury"
Cape Verde,"Ryan Mendes — captain, all-time leading scorer and record appearance-maker, leading the line"
Cape Verde,Steven Moreira (Columbus Crew) — 2024 MLS Defender of the Year
Cape Verde,"Carlos 'CJ' dos Santos (San Diego FC) — goalkeeper, former US youth international who switched allegiance"
Cape Verde,"Kevin Pina — attacker, scored in the warm-up win over Serbia"
Colombia,"Luis Diaz (Liverpool) — talisman winger, scored in the 4-0 friendly rout of Mexico"
Colombia,"James Rodriguez (Minnesota United / Club Leon) — captain, 34, creative leader but short on minutes and form"
Colombia,"Jhon Arias / Juan Camilo 'Cucho' Hernandez (Real Betis) — in-form forward, among La Liga's top scorers"
Colombia,Jefferson Lerma (Crystal Palace) — midfield anchor
Colombia,"Juan Fernando Quintero (River Plate) — attacking midfielder, likely his last World Cup"
Croatia,"Luka Modric (AC Milan) — 40-year-old captain, made 36 competitive appearances for Milan in 2025-26 with 2 goals and 3 assists; still the team's metronome"
Croatia,"Josko Gvardiol (Manchester City) — defensive anchor, returned after recovering from a broken shin"
Croatia,Mateo Kovacic (Manchester City) — midfield engine who overcame injury to make the squad
Croatia,Andrej Kramaric (Hoffenheim) — experienced attacking option
Croatia,Ivan Perisic (PSV/veteran) — experienced wide forward retained in the squad
Curaçao,"Leandro Bacuna (captain) — most-capped player (71), midfield leader with European top-division experience and set-piece quality"
Curaçao,"Eloy Room — veteran goalkeeper, joint most-capped (71)"
Curaçao,Rangelo Janga (FC Eindhoven) — all-time top scorer (21 goals in 43 caps)
Curaçao,"Juninho Bacuna — central midfielder, 13 international goals, dangerous through qualifying"
Curaçao,"Squad bolstered by Dutch-developed, Curacaoan-heritage players under the FIFA eligibility rule"
Czech Republic,Patrik Schick (Bayer Leverkusen) — leading striker; scored in the warm-up win over Guatemala
Czech Republic,Ladislav Krejci (Wolves) — captain and defensive leader
Czech Republic,Tomas Soucek (West Ham) — central midfield engine
Czech Republic,Adam Hlozek (Hoffenheim) — forward returning from a long calf/foot injury layoff
Czech Republic,"Pavel Sulc — attacking midfielder, one to watch"
DR Congo,"Chancel Mbemba (free agent / Olympique de Marseille) — captain and leader, scored the decisive play-off penalties"
DR Congo,"Yoane Wissa (Newcastle United) — most influential attacker, strong in the Denmark warm-up"
DR Congo,Aaron Wan-Bissaka (West Ham United) — experienced right-back who switched allegiance to DR Congo
DR Congo,Axel Tuanzebe — defender adding Premier League experience
Ecuador,"Moises Caicedo (Chelsea) — midfield engine, strong Premier League/Champions League season"
Ecuador,"Willian Pacho (Paris Saint-Germain) — central defender, key part of a treble-chasing PSG backline"
Ecuador,"Piero Hincapie (defender) — versatile, experienced European-based defender"
Ecuador,Kendry Paez (River Plate) — highly rated young attacking midfielder
Ecuador,"Enner Valencia — veteran forward and leader, experience up front"
Egypt,"Mohamed Salah (Liverpool) — captain and talisman, group's top scorer in qualifying with 9 goals"
Egypt,Omar Marmoush (Manchester City) — attacking partner to Salah and key goal threat
Egypt,Mohamed El Shenawy (Al Ahly) — veteran goalkeeper behind a miserly qualifying defense
Egypt,Trezeguet (Al Ahly) — experienced winger providing width and goals
Egypt,Hamdy Fathy (Al-Wakrah) — combative central midfielder
England,"Harry Kane (Bayern Munich) — captain, prolific Bundesliga scoring season, at his third World Cup"
England,Jude Bellingham (Real Madrid) — creative midfield talisman
England,"Declan Rice (Arsenal) — midfield anchor, reached Champions League final with Arsenal"
England,Bukayo Saka (Arsenal) — key attacker on the right
England,"Jordan Pickford (Everton) — first-choice goalkeeper, conceded none in qualifying"
France,Kylian Mbappe (Real Madrid) — captain and main attacking force; needs two goals to break France's World Cup scoring record
France,Ousmane Dembele (Paris Saint-Germain) — reigning Ballon d'Or winner and Champions League title holder
France,William Saliba (Arsenal) — anchor of the back line
France,"Michael Olise (Bayern Munich) — strong club season, key attacking option"
France,Mike Maignan (AC Milan) — first-choice goalkeeper
Germany,"Jamal Musiala (Bayern Munich) — returning from a serious July broken-leg/ankle injury, limited game time but a key creative threat"
Germany,Florian Wirtz (Liverpool) — versatile attacker in improved form after first season in England
Germany,"Joshua Kimmich (Bayern Munich) — captain, anchors midfield/right-back"
Germany,Antonio Rudiger (Real Madrid) — defensive leader returning after a period out injured
Germany,"Manuel Neuer (Bayern Munich, 40) — reversed retirement, confirmed first-choice keeper"
Ghana,"Antoine Semenyo (Bournemouth) — primary attacking threat following Kudus' absence; pace, power and one-v-one ability"
Ghana,Thomas Partey (free agent/veteran) — experienced midfield anchor headlining the squad
Ghana,Mohammed Salisu (defender) — defensive leader
Ghana,Jordan Ayew (forward) — experienced attacker and senior figure
Ghana,"Lawrence Ati-Zigi (goalkeeper) — first-choice keeper, started the Wales friendly"
Haiti,Johny Placide (goalkeeper) — veteran captain
